"Tag","Class","RegistryKey","SlotCount","SlotTypes","SlotDetail"
"0x80B2F00E","0x80809462","0x3E3BCA52","31","36 31 25 31 31 25 57 69 69 69 69 60 47 47 60 60 63 54 54 54 54 54 54 12 12 12 12 12 12 12 12","36:0xD5C62FD2,31:0xD233E030,25:0x43A6A48E,31:0x3C39D318,31:0xD588EDC8,25:0x43A6A48F,57:0xC6905B77,69:0x3E64EE42,69:0xCFE898B0,69:0x701AF341,69:0xC1628017,60:0x7A66DCEA,47:0xB8058770,47:0xB8058771,60:0xD0E6246E,60:0x18336F27,63:0xEF765307,54:0xD8E58D9E,54:0x6574FECE,54:0xD1D9FB46,54:0x3090B5EE,54:0xA099D0D7,54:0x861674E2,12:0x8C6F53D7,12:0xE9DC6235,12:0x41EEC72C,12:0x39BFC74F,12:0xDEF1C3B2,12:0x41EEC72F,12:0x39BFC74C,12:0x282CB4FC"
"0x80B2F015","0x80809462","0x8FE30052","27","36 36 31 31 30 60 47 69 69 69 69 69 60 60 60 54 54 54 54 54 54 54 12 12 12 12 12","36:0x3A18CE80,36:0xD5C62FD2,31:0xFE3BB7AC,31:0xBC1DE89F,30:0x3EF23A3B,60:0xC82BB232,47:0x002A4C3F,69:0xC14D6208,69:0xC1628017,69:0x59DCDB27,69:0x701AF341,69:0xF1DAC9F4,60:0xF6558361,60:0xDF710EDD,60:0x16F4F302,54:0x0B427039,54:0xA8BF5E3D,54:0x89C39DFD,54:0x06378966,54:0x3C37E5C4,54:0x858532D0,54:0x065D1B61,12:0x2D94FCF4,12:0xF58FF609,12:0x41EEC72E,12:0x39BFC74D,12:0x13A0E763"
"0x80B2F02A","0x80809462","0x5135D008","13","1 3 70 30 45 66 66 44 44 60 61 45 46","1:0x956B5A93,3:0x060213EC,70:0x3A2C2625,30:0x203E429F,45:0x67A7BA12,66:0xBA2E8B75,66:0xBB2F545A,44:0x36F3C315,44:0x359396DE,60:0xCA0C16DE,61:0xF06B9F06,45:0x67A7BA11,46:0x2EB19AEB"
"0x80B2F14F","0x80809462","0x100A16BC","46","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54 54 63","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0x94F39BF9,54:0xC604E3A1,54:0xAF2327E3,63:0x09DD21E1"
"0x80B2F25A","0x80809462","0xD42A7BCF","45","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0x7B004AFE,54:0x5B8646EC,54:0xBA0737B0"
"0x80B2F2E7","0x80809462","0x29FE6233","45","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0x5A5AD708,54:0x13A94890,54:0x2792A1DC"
"0x80B2F3B7","0x80809462","0x29FE6230","45","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0x598386BB,54:0x13A94890,54:0x2792A1DC"
"0x80B2F4B6","0x80809462","0x29FE6231","45","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0x49AA8586,54:0x13A94890,54:0x2792A1DC"
"0x80B2F608","0x80809462","0x3AAE0583","44","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0x9C784A9E,54:0x4E96C43A"
"0x80B2F66E","0x80809462","0x02DB5320","44","36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 30 31 61 47 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61 60 61 61 63 63 69 54","36:0x25C457B2,36:0xACD2B0DD,36:0x2CDD4CC5,36:0x3516AECA,36:0x48859B58,36:0x36457280,36:0x98C09D74,36:0x5DD11DBA,36:0xC4116F98,36:0x0E0E3F9E,36:0x66E59B18,36:0xFA25B0A3,36:0x8C7B00D0,36:0x246B600D,36:0xD99981CE,36:0xEBB3619D,36:0x794EAF6A,36:0x0C16707A,30:0x3178A8E3,31:0xE4DE93EB,61:0x5A306A59,47:0x17D4E98D,61:0xE0943CB3,61:0x9E0F4573,61:0x9BF97760,61:0x7F752CD2,61:0x1AE5EA1B,61:0x41D93F0B,61:0x08F28842,61:0x0A3FD7D3,61:0x1400EF09,61:0xE7FADB3F,61:0xA0BD6112,61:0x41513DCA,61:0x980B7665,61:0x56E7AAB5,61:0x662503F5,60:0x929F2A41,61:0xC428D533,61:0x461FB085,63:0xACE8F42E,63:0xADAE6EDA,69:0xB86C93A1,54:0x4E96C43A"
